time,c
2015-05-15 13:00:00,1.13525
2015-05-15 14:00:00,1.14372
2015-05-15 15:00:00,1.14274
2015-05-15 16:00:00,1.1431
2015-05-15 17:00:00,1.14359
2015-05-15 18:00:00,1.14636
2015-05-15 19:00:00,1.14464
2015-05-15 20:00:00,1.14446
2015-05-17 21:00:00,1.14417
2015-05-17 22:00:00,1.14393
2015-05-17 23:00:00,1.14432
2015-05-18 00:00:00,1.14325
2015-05-18 01:00:00,1.14215
2015-05-18 02:00:00,1.14324
2015-05-18 03:00:00,1.14304
2015-05-18 04:00:00,1.14336
2015-05-18 05:00:00,1.14368
2015-05-18 06:00:00,1.14162
2015-05-18 07:00:00,1.13902
2015-05-18 08:00:00,1.1386
2015-05-18 09:00:00,1.14036
2015-05-18 10:00:00,1.14168
2015-05-18 11:00:00,1.14048
2015-05-18 12:00:00,1.13888
2015-05-18 13:00:00,1.13372
2015-05-18 13:00:00,1.13372
2015-05-18 14:00:00,1.13636
2015-05-18 15:00:00,1.13534
2015-05-18 16:00:00,1.13501
2015-05-18 17:00:00,1.13162
2015-05-18 18:00:00,1.13025
2015-05-18 19:00:00,1.13082
2015-05-18 20:00:00,1.13138
2015-05-18 21:00:00,1.13134
2015-05-18 22:00:00,1.13144
2015-05-18 23:00:00,1.13234
2015-05-19 00:00:00,1.13125
2015-05-19 01:00:00,1.12935
2015-05-19 02:00:00,1.12958
2015-05-19 03:00:00,1.13057
2015-05-19 04:00:00,1.13031
2015-05-19 05:00:00,1.13157
2015-05-19 06:00:00,1.13033
2015-05-19 07:00:00,1.11822
2015-05-19 08:00:00,1.11934
2015-05-19 09:00:00,1.12029
2015-05-19 10:00:00,1.12149
2015-05-19 11:00:00,1.119
2015-05-19 12:00:00,1.11323
2015-05-19 13:00:00,1.11531
2015-05-19 14:00:00,1.1128
2015-05-19 15:00:00,1.11498
2015-05-19 16:00:00,1.11459
2015-05-19 17:00:00,1.11423
2015-05-19 18:00:00,1.11531
2015-05-19 19:00:00,1.11467
2015-05-19 20:00:00,1.11486
2015-05-19 21:00:00,1.11447
2015-05-19 22:00:00,1.11462
2015-05-19 23:00:00,1.11421
2015-05-20 00:00:00,1.11328
2015-05-20 01:00:00,1.11394
2015-05-20 02:00:00,1.11432
2015-05-20 03:00:00,1.11392
2015-05-20 04:00:00,1.11308
2015-05-20 05:00:00,1.1098
2015-05-20 06:00:00,1.10825
2015-05-20 07:00:00,1.10996
2015-05-20 08:00:00,1.11072
2015-05-20 09:00:00,1.11147
